sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.400000E-001      0.132709E+014      0.850689E+000      0.371508E+006      0.132709E+014 
     -0.300000E-001      0.132687E+014      0.114736E+001      0.497019E+006      0.132687E+014 
     -0.200000E-001      0.132665E+014      0.154816E+001      0.665275E+006      0.132665E+014 
     -0.100000E-001      0.132643E+014      0.208984E+001      0.890945E+006      0.132643E+014 
      0.416334E-016      0.132621E+014      0.282221E+001      0.119376E+007      0.132621E+014 
      0.100000E-001      0.132599E+014      0.381280E+001      0.160028E+007      0.132599E+014 
      0.200000E-001      0.132577E+014      0.515314E+001      0.214627E+007      0.132577E+014 
      0.300000E-001      0.132555E+014      0.696743E+001      0.287992E+007      0.132555E+014 
      0.400000E-001      0.132534E+014      0.942416E+001      0.386615E+007      0.132534E+014 
      0.500000E-001      0.132513E+014      0.127520E+002      0.519251E+007      0.132513E+014 
      0.600000E-001      0.132491E+014      0.172615E+002      0.697704E+007      0.132491E+014 
      0.700000E-001      0.132470E+014      0.233742E+002      0.937901E+007      0.132470E+014 
      0.800000E-001      0.132449E+014      0.316631E+002      0.126134E+008      0.132449E+014 
      0.900000E-001      0.132428E+014      0.429066E+002      0.169703E+008      0.132429E+014 
      0.100000E+000      0.132408E+014      0.581625E+002      0.228415E+008      0.132408E+014 
      0.110000E+000      0.132387E+014      0.788691E+002      0.307564E+008      0.132387E+014 
      0.120000E+000      0.132366E+014      0.106982E+003      0.414298E+008      0.132367E+014 
      0.130000E+000      0.132346E+014      0.145159E+003      0.558277E+008      0.132347E+014 
      0.140000E+000      0.132326E+014      0.197015E+003      0.752552E+008      0.132326E+014 
      0.150000E+000      0.132305E+014      0.267466E+003      0.101475E+009      0.132306E+014 
      0.160000E+000      0.132285E+014      0.363191E+003      0.136870E+009      0.132287E+014 
      0.170000E+000      0.132265E+014      0.493263E+003      0.184653E+009      0.132267E+014 
      0.180000E+000      0.132245E+014      0.670003E+003      0.249163E+009      0.132248E+014 
      0.190000E+000      0.132225E+014      0.910114E+003      0.336242E+009      0.132229E+014 
      0.200000E+000      0.132205E+014      0.123621E+004      0.453752E+009      0.132210E+014 
      0.210000E+000      0.132185E+014      0.167884E+004      0.612241E+009      0.132191E+014 
      0.220000E+000      0.132165E+014      0.227913E+004      0.825818E+009      0.132173E+014 
      0.230000E+000      0.132145E+014      0.309222E+004      0.111327E+010      0.132156E+014 
      0.240000E+000      0.132125E+014      0.419160E+004      0.149944E+010      0.132140E+014 
      0.250000E+000      0.132104E+014      0.567442E+004      0.201693E+010      0.132124E+014 
      0.260000E+000      0.132083E+014      0.766774E+004      0.270803E+010      0.132110E+014 
      0.270000E+000      0.132061E+014      0.103354E+005      0.362671E+010      0.132097E+014 
      0.280000E+000      0.132039E+014      0.138848E+005      0.484059E+010      0.132087E+014 
      0.290000E+000      0.132015E+014      0.185720E+005      0.643206E+010      0.132079E+014 
      0.300000E+000      0.131990E+014      0.247038E+005      0.849828E+010      0.132075E+014 
      0.310000E+000      0.131964E+014      0.326333E+005      0.111489E+011      0.132075E+014 
      0.320000E+000      0.131935E+014      0.427483E+005      0.145011E+011      0.132080E+014 
      0.330000E+000      0.131904E+014      0.554503E+005      0.186718E+011      0.132091E+014 
      0.340000E+000      0.131871E+014      0.711272E+005      0.237678E+011      0.132109E+014 
      0.350000E+000      0.131834E+014      0.901234E+005      0.298762E+011      0.132133E+014 
      0.360000E+000      0.131795E+014      0.112715E+006      0.370558E+011      0.132166E+014 
      0.370000E+000      0.131752E+014      0.139096E+006      0.453341E+011      0.132206E+014 
      0.380000E+000      0.131707E+014      0.169372E+006      0.547070E+011      0.132254E+014 
      0.390000E+000      0.131658E+014      0.203572E+006      0.651437E+011      0.132310E+014 
      0.400000E+000      0.131607E+014      0.241663E+006      0.765929E+011      0.132373E+014 
      0.410000E+000      0.131553E+014      0.283566E+006      0.889902E+011      0.132443E+014 
      0.420000E+000      0.131496E+014      0.329176E+006      0.102264E+012      0.132519E+014 
      0.430000E+000      0.131438E+014      0.378370E+006      0.116341E+012      0.132601E+014 
      0.440000E+000      0.131377E+014      0.431026E+006      0.131148E+012      0.132689E+014 
      0.450000E+000      0.131315E+014      0.487021E+006      0.146619E+012      0.132782E+014 
      0.460000E+000      0.131252E+014      0.546242E+006      0.162689E+012      0.132879E+014 
      0.470000E+000      0.131187E+014      0.608585E+006      0.179302E+012      0.132980E+014 
      0.480000E+000      0.131121E+014      0.673955E+006      0.196405E+012      0.133085E+014 
      0.490000E+000      0.131055E+014      0.742269E+006      0.213952E+012      0.133194E+014 
      0.500000E+000      0.130987E+014      0.813453E+006      0.231902E+012      0.133306E+014 
      0.510000E+000      0.130919E+014      0.887444E+006      0.250219E+012      0.133421E+014 
      0.520000E+000      0.130850E+014      0.964185E+006      0.268868E+012      0.133538E+014 
      0.530000E+000      0.130780E+014      0.104363E+007      0.287822E+012      0.133659E+014 
      0.540000E+000      0.130710E+014      0.112573E+007      0.307055E+012      0.133781E+014 
      0.550000E+000      0.130640E+014      0.121046E+007      0.326543E+012      0.133906E+014 
      0.560000E+000      0.130570E+014      0.129778E+007      0.346266E+012      0.134033E+014 
      0.570000E+000      0.130499E+014      0.138767E+007      0.366207E+012      0.134161E+014 
      0.580000E+000      0.130428E+014      0.148011E+007      0.386348E+012      0.134292E+014 
      0.590000E+000      0.130357E+014      0.157507E+007      0.406675E+012      0.134424E+014 
      0.600000E+000      0.130286E+014      0.167254E+007      0.427174E+012      0.134558E+014 
      0.610000E+000      0.130215E+014      0.177250E+007      0.447835E+012      0.134694E+014 
      0.620000E+000      0.130144E+014      0.187496E+007      0.468645E+012      0.134830E+014 
      0.630000E+000      0.130073E+014      0.197988E+007      0.489596E+012      0.134969E+014 
      0.640000E+000      0.130002E+014      0.208727E+007      0.510678E+012      0.135109E+014 
      0.650000E+000      0.129931E+014      0.219713E+007      0.531883E+012      0.135250E+014 
      0.660000E+000      0.129860E+014      0.230944E+007      0.553204E+012      0.135392E+014 
      0.670000E+000      0.129789E+014      0.242420E+007      0.574635E+012      0.135535E+014 
      0.680000E+000      0.129718E+014      0.254141E+007      0.596168E+012      0.135680E+014 
      0.690000E+000      0.129648E+014      0.266107E+007      0.617799E+012      0.135826E+014 
      0.700000E+000      0.129577E+014      0.278318E+007      0.639523E+012      0.135973E+014 
      0.710000E+000      0.129507E+014      0.290773E+007      0.661333E+012      0.136121E+014 
      0.720000E+000      0.129437E+014      0.303472E+007      0.683227E+012      0.136269E+014 
      0.730000E+000      0.129367E+014      0.316417E+007      0.705199E+012      0.136419E+014 
      0.740000E+000      0.129298E+014      0.329605E+007      0.727247E+012      0.136570E+014 
      0.750000E+000      0.129228E+014      0.343039E+007      0.749366E+012      0.136722E+014 
      0.760000E+000      0.129159E+014      0.356718E+007      0.771553E+012      0.136875E+014 
      0.770000E+000      0.129090E+014      0.370642E+007      0.793806E+012      0.137028E+014 
      0.780000E+000      0.129021E+014      0.384811E+007      0.816121E+012      0.137183E+014 
      0.790000E+000      0.128953E+014      0.399226E+007      0.838496E+012      0.137338E+014 
      0.800000E+000      0.128885E+014      0.413887E+007      0.860928E+012      0.137494E+014 
      0.810000E+000      0.128817E+014      0.428794E+007      0.883414E+012      0.137651E+014 
      0.820000E+000      0.128749E+014      0.443948E+007      0.905954E+012      0.137808E+014 
      0.830000E+000      0.128681E+014      0.459349E+007      0.928544E+012      0.137967E+014 
      0.840000E+000      0.128614E+014      0.474996E+007      0.951183E+012      0.138126E+014 
      0.850000E+000      0.128547E+014      0.490891E+007      0.973869E+012      0.138286E+014 
      0.860000E+000      0.128481E+014      0.507034E+007      0.996600E+012      0.138447E+014 
      0.870000E+000      0.128414E+014      0.523425E+007      0.101937E+013      0.138608E+014 
      0.880000E+000      0.128348E+014      0.540065E+007      0.104219E+013      0.138770E+014 
      0.890000E+000      0.128282E+014      0.556953E+007      0.106505E+013      0.138933E+014 
      0.900000E+000      0.128217E+014      0.574091E+007      0.108794E+013      0.139096E+014 
      0.910000E+000      0.128151E+014      0.591478E+007      0.111088E+013      0.139260E+014 
      0.920000E+000      0.128086E+014      0.609115E+007      0.113385E+013      0.139425E+014 
      0.930000E+000      0.128022E+014      0.627002E+007      0.115686E+013      0.139590E+014 
      0.940000E+000      0.127957E+014      0.645140E+007      0.117990E+013      0.139756E+014 
      0.950000E+000      0.127893E+014      0.663529E+007      0.120297E+013      0.139923E+014 
      0.960000E+000      0.127829E+014      0.682169E+007      0.122608E+013      0.140090E+014 
      0.970000E+000      0.127766E+014      0.701061E+007      0.124922E+013      0.140258E+014 
      0.980000E+000      0.127702E+014      0.720205E+007      0.127239E+013      0.140426E+014 
      0.990000E+000      0.127639E+014      0.739601E+007      0.129558E+013      0.140595E+014 
      0.100000E+001      0.127576E+014      0.759250E+007      0.131881E+013      0.140765E+014 
      0.101000E+001      0.127514E+014      0.779152E+007      0.134207E+013      0.140935E+014 
      0.102000E+001      0.127452E+014      0.799307E+007      0.136535E+013      0.141105E+014 
      0.103000E+001      0.127390E+014      0.819716E+007      0.138866E+013      0.141277E+014 
      0.104000E+001      0.127328E+014      0.840380E+007      0.141199E+013      0.141448E+014 
      0.105000E+001      0.127267E+014      0.861297E+007      0.143535E+013      0.141621E+014 
      0.106000E+001      0.127206E+014      0.882470E+007      0.145874E+013      0.141794E+014 
      0.107000E+001      0.127145E+014      0.903897E+007      0.148214E+013      0.141967E+014 
      0.108000E+001      0.127085E+014      0.925580E+007      0.150558E+013      0.142141E+014 
      0.109000E+001      0.127025E+014      0.947518E+007      0.152903E+013      0.142315E+014 
      0.110000E+001      0.126965E+014      0.969712E+007      0.155251E+013      0.142490E+014 
      0.111000E+001      0.126905E+014      0.992163E+007      0.157600E+013      0.142665E+014 
      0.112000E+001      0.126846E+014      0.101487E+008      0.159952E+013      0.142841E+014 
      0.113000E+001      0.126787E+014      0.103783E+008      0.162306E+013      0.143018E+014 
      0.114000E+001      0.126728E+014      0.106106E+008      0.164662E+013      0.143194E+014 
      0.115000E+001      0.126670E+014      0.108453E+008      0.167020E+013      0.143372E+014 
      0.116000E+001      0.126611E+014      0.110827E+008      0.169380E+013      0.143549E+014 
      0.117000E+001      0.126553E+014      0.113227E+008      0.171742E+013      0.143728E+014 
      0.118000E+001      0.126496E+014      0.115652E+008      0.174105E+013      0.143906E+014 
      0.119000E+001      0.126438E+014      0.118103E+008      0.176471E+013      0.144085E+014 
      0.120000E+001      0.126381E+014      0.120580E+008      0.178838E+013      0.144265E+014 
      0.121000E+001      0.126324E+014      0.123083E+008      0.181207E+013      0.144445E+014 
