 sweep_index          Cl_1[1/cm^2]         Cl_2[1/cm^2]         Cl_3[1/cm^2]         Total[1/cm^2]        
     -0.150000E+000      0.827792E+012     -0.182054E-039     -0.827792E+012      0.226611E+001 
     -0.140000E+000      0.833786E+012     -0.183334E-039     -0.833786E+012     -0.151917E+001 
     -0.130000E+000      0.839746E+012     -0.184692E-039     -0.839746E+012      0.702393E+001 
     -0.120000E+000      0.845674E+012     -0.186133E-039     -0.845674E+012      0.605383E+001 
     -0.110000E+000      0.851571E+012     -0.187662E-039     -0.851571E+012      0.972461E+001 
     -0.100000E+000      0.857435E+012     -0.189284E-039     -0.857435E+012      0.912061E+001 
     -0.900000E-001      0.863269E+012     -0.191004E-039     -0.863269E+012      0.102644E+002 
     -0.800000E-001      0.869072E+012     -0.192829E-039     -0.869072E+012      0.333875E+001 
     -0.700000E-001      0.874846E+012     -0.194763E-039     -0.874846E+012      0.162036E+002 
     -0.600000E-001      0.880589E+012     -0.196814E-039     -0.880589E+012      0.315930E+001 
     -0.500000E-001      0.886304E+012     -0.198990E-039     -0.886304E+012      0.990479E+001 
     -0.400000E-001      0.891990E+012     -0.201299E-039     -0.891990E+012      0.114653E+002 
     -0.300000E-001      0.897648E+012     -0.203749E-039     -0.897648E+012      0.100193E+002 
     -0.200000E-001      0.903279E+012     -0.206350E-039     -0.903279E+012      0.108810E+002 
     -0.100000E-001      0.908882E+012     -0.209112E-039     -0.908882E+012      0.102499E+002 
      0.416334E-016      0.914458E+012     -0.212047E-039     -0.914458E+012      0.153223E+001 
      0.100000E-001      0.920008E+012     -0.215167E-039     -0.920008E+012      0.113721E+002 
      0.200000E-001      0.925532E+012     -0.218487E-039     -0.925532E+012      0.586829E+001 
      0.300000E-001      0.931030E+012     -0.222021E-039     -0.931030E+012      0.569910E+001 
      0.400000E-001      0.936504E+012     -0.225786E-039     -0.936504E+012     -0.993164E+000 
      0.500000E-001      0.941953E+012     -0.229802E-039     -0.941953E+012      0.424976E+001 
      0.600000E-001      0.947378E+012     -0.234088E-039     -0.947378E+012      0.665723E+001 
      0.700000E-001      0.952780E+012     -0.238667E-039     -0.952780E+012      0.232629E+001 
      0.800000E-001      0.958160E+012     -0.243566E-039     -0.958160E+012      0.533826E+001 
      0.900000E-001      0.963519E+012     -0.248812E-039     -0.963519E+012      0.113512E+002 
      0.100000E+000      0.968857E+012     -0.254438E-039     -0.968857E+012      0.504773E+001 
      0.110000E+000      0.974177E+012     -0.260480E-039     -0.974177E+012      0.731396E+001 
      0.120000E+000      0.979480E+012     -0.266977E-039     -0.979480E+012      0.220789E+001 
      0.130000E+000      0.984769E+012     -0.273976E-039     -0.984769E+012      0.745667E+001 
      0.140000E+000      0.990048E+012     -0.281526E-039     -0.990048E+012     -0.110803E+001 
      0.150000E+000      0.995319E+012     -0.289687E-039     -0.995319E+012      0.161614E+002 
      0.160000E+000      0.100059E+013     -0.298521E-039     -0.100059E+013      0.671387E+000 
      0.170000E+000      0.100587E+013     -0.308103E-039     -0.100587E+013      0.121597E+002 
      0.180000E+000      0.101116E+013     -0.318514E-039     -0.101116E+013      0.551782E+001 
      0.190000E+000      0.101649E+013     -0.329844E-039     -0.101649E+013      0.614062E+001 
      0.200000E+000      0.102187E+013     -0.342195E-039     -0.102187E+013      0.131864E+002 
      0.210000E+000      0.102732E+013     -0.355675E-039     -0.102732E+013      0.218555E+001 
      0.220000E+000      0.103287E+013     -0.370401E-039     -0.103287E+013      0.109841E+002 
      0.230000E+000      0.103857E+013     -0.386495E-039     -0.103857E+013      0.921167E+001 
      0.240000E+000      0.104447E+013     -0.404077E-039     -0.104447E+013      0.111823E+002 
      0.250000E+000      0.105063E+013     -0.423258E-039     -0.105063E+013      0.690662E+001 
      0.260000E+000      0.105712E+013     -0.444133E-039     -0.105712E+013      0.548376E+001 
      0.270000E+000      0.106405E+013     -0.466760E-039     -0.106405E+013      0.369763E+001 
      0.280000E+000      0.107150E+013     -0.491156E-039     -0.107150E+013      0.230811E+001 
      0.290000E+000      0.107958E+013     -0.517275E-039     -0.107958E+013      0.409302E+001 
      0.300000E+000      0.108839E+013     -0.545012E-039     -0.108839E+013      0.800061E+001 
      0.310000E+000      0.109802E+013     -0.574197E-039     -0.109802E+013     -0.178699E+001 
      0.320000E+000      0.110853E+013     -0.604613E-039     -0.110853E+013      0.100513E+002 
      0.330000E+000      0.111995E+013     -0.636011E-039     -0.111995E+013      0.310278E+001 
      0.340000E+000      0.113230E+013     -0.668136E-039     -0.113230E+013      0.115181E+002 
      0.350000E+000      0.114556E+013     -0.700746E-039     -0.114556E+013      0.118127E+002 
      0.360000E+000      0.115970E+013     -0.733625E-039     -0.115970E+013     -0.266772E+001 
      0.370000E+000      0.117466E+013     -0.766594E-039     -0.117466E+013      0.470215E+000 
      0.380000E+000      0.119039E+013     -0.799510E-039     -0.119039E+013      0.213403E+001 
      0.390000E+000      0.120683E+013     -0.832266E-039     -0.120683E+013      0.269922E+001 
      0.400000E+000      0.122391E+013     -0.864786E-039     -0.122391E+013      0.294800E+001 
      0.410000E+000      0.124157E+013     -0.897018E-039     -0.124157E+013      0.784717E+001 
      0.420000E+000      0.125976E+013     -0.928932E-039     -0.125976E+013      0.897681E+001 
      0.430000E+000      0.127843E+013     -0.960510E-039     -0.127843E+013      0.751855E+001 
      0.440000E+000      0.129753E+013     -0.991750E-039     -0.129753E+013      0.506787E+001 
      0.450000E+000      0.131701E+013     -0.102265E-038     -0.131701E+013      0.196458E+002 
      0.460000E+000      0.133685E+013     -0.105323E-038     -0.133685E+013      0.117361E+002 
      0.470000E+000      0.135701E+013     -0.108350E-038     -0.135701E+013      0.489038E+001 
      0.480000E+000      0.137746E+013     -0.111347E-038     -0.137746E+013      0.369873E+001 
      0.490000E+000      0.139817E+013     -0.114316E-038     -0.139817E+013      0.950928E+000 
      0.500000E+000      0.141913E+013     -0.117259E-038     -0.141913E+013      0.109900E+002 
      0.510000E+000      0.144031E+013     -0.120177E-038     -0.144031E+013      0.100447E+002 
      0.520000E+000      0.146169E+013     -0.123074E-038     -0.146169E+013      0.175217E+002 
      0.530000E+000      0.148326E+013     -0.125950E-038     -0.148326E+013      0.278662E+001 
      0.540000E+000      0.150500E+013     -0.128807E-038     -0.150500E+013      0.711108E+001 
      0.550000E+000      0.152690E+013     -0.131648E-038     -0.152690E+013      0.116201E+002 
      0.560000E+000      0.154894E+013     -0.134473E-038     -0.154894E+013      0.315356E+001 
      0.570000E+000      0.157113E+013     -0.137284E-038     -0.157113E+013      0.105671E+002 
      0.580000E+000      0.159344E+013     -0.140084E-038     -0.159344E+013      0.145098E+002 
      0.590000E+000      0.161588E+013     -0.142872E-038     -0.161588E+013      0.335840E+001 
      0.600000E+000      0.163842E+013     -0.145652E-038     -0.163842E+013      0.201440E+001 
      0.610000E+000      0.166108E+013     -0.148423E-038     -0.166108E+013      0.680200E+001 
      0.620000E+000      0.168382E+013     -0.151187E-038     -0.168382E+013      0.140210E+001 
      0.630000E+000      0.170667E+013     -0.153946E-038     -0.170667E+013      0.435400E+001 
      0.640000E+000      0.172959E+013     -0.156700E-038     -0.172959E+013      0.162661E+002 
      0.650000E+000      0.175260E+013     -0.159451E-038     -0.175260E+013      0.162332E+002 
      0.660000E+000      0.177569E+013     -0.162200E-038     -0.177569E+013      0.849902E+001 
      0.670000E+000      0.179885E+013     -0.164947E-038     -0.179885E+013      0.414136E+001 
      0.680000E+000      0.182209E+013     -0.167694E-038     -0.182209E+013      0.191243E+002 
      0.690000E+000      0.184538E+013     -0.170441E-038     -0.184538E+013      0.778760E+001 
      0.700000E+000      0.186874E+013     -0.173190E-038     -0.186874E+013      0.888550E+001 
      0.710000E+000      0.189216E+013     -0.175940E-038     -0.189216E+013      0.302881E+001 
      0.720000E+000      0.191564E+013     -0.178694E-038     -0.191564E+013      0.113318E+002 
      0.730000E+000      0.193917E+013     -0.181451E-038     -0.193917E+013      0.168833E+002 
      0.740000E+000      0.196275E+013     -0.184212E-038     -0.196275E+013      0.112876E+002 
      0.750000E+000      0.198638E+013     -0.186978E-038     -0.198638E+013      0.191711E+002 
      0.760000E+000      0.201006E+013     -0.189750E-038     -0.201006E+013      0.677295E+001 
      0.770000E+000      0.203379E+013     -0.192529E-038     -0.203379E+013      0.119360E+002 
      0.780000E+000      0.205756E+013     -0.195314E-038     -0.205756E+013      0.886328E+001 
      0.790000E+000      0.208137E+013     -0.198107E-038     -0.208137E+013      0.352588E+001 
      0.800000E+000      0.210522E+013     -0.200908E-038     -0.210522E+013      0.176885E+002 
      0.810000E+000      0.212910E+013     -0.203717E-038     -0.212910E+013      0.619482E+001 
      0.820000E+000      0.215303E+013     -0.206536E-038     -0.215303E+013      0.106060E+002 
      0.830000E+000      0.217699E+013     -0.209364E-038     -0.217699E+013     -0.320801E+000 
      0.840000E+000      0.220099E+013     -0.212202E-038     -0.220099E+013      0.580273E+001 
      0.850000E+000      0.222501E+013     -0.215052E-038     -0.222501E+013      0.123193E+002 
      0.860000E+000      0.224907E+013     -0.217912E-038     -0.224907E+013      0.902881E+001 
      0.870000E+000      0.227316E+013     -0.220784E-038     -0.227316E+013      0.281206E+002 
      0.880000E+000      0.229728E+013     -0.223668E-038     -0.229728E+013      0.349609E+000 
      0.890000E+000      0.232143E+013     -0.226564E-038     -0.232143E+013      0.366748E+001 
      0.900000E+000      0.234561E+013     -0.229473E-038     -0.234561E+013      0.968262E+001 
      0.910000E+000      0.236981E+013     -0.232396E-038     -0.236981E+013      0.315635E+002 
      0.920000E+000      0.239404E+013     -0.235332E-038     -0.239404E+013      0.113569E+002 
      0.930000E+000      0.241830E+013     -0.238282E-038     -0.241830E+013      0.110107E+002 
      0.940000E+000      0.244258E+013     -0.241247E-038     -0.244258E+013      0.496777E+001 
      0.950000E+000      0.246688E+013     -0.244227E-038     -0.246688E+013      0.842676E+001 
      0.960000E+000      0.249121E+013     -0.247222E-038     -0.249121E+013      0.742383E+001 
      0.970000E+000      0.251555E+013     -0.250232E-038     -0.251555E+013      0.526709E+001 
      0.980000E+000      0.253992E+013     -0.253259E-038     -0.253992E+013      0.829541E+001 
      0.990000E+000      0.256431E+013     -0.256301E-038     -0.256431E+013     -0.153208E+002 
      0.100000E+001      0.258873E+013     -0.259361E-038     -0.258873E+013      0.157959E+002 
      0.101000E+001      0.261316E+013     -0.262437E-038     -0.261316E+013      0.367773E+001 
      0.102000E+001      0.263761E+013     -0.265530E-038     -0.263761E+013      0.144214E+002 
      0.103000E+001      0.266208E+013     -0.268641E-038     -0.266208E+013     -0.731787E+001 
      0.104000E+001      0.268656E+013     -0.271771E-038     -0.268656E+013      0.114839E+002 
      0.105000E+001      0.271107E+013     -0.274918E-038     -0.271107E+013      0.467871E+001 
      0.106000E+001      0.273559E+013     -0.278084E-038     -0.273559E+013      0.157119E+002 
